Instrument,Price To Book Value Per Share (Daily Time Series Ratio),Date
BATS.L,0.806720615,2023-09-03
BATS.L,0.801771409,2023-09-10
BATS.L,0.835797202052964,2023-09-17
BATS.L,0.838271805167851,2023-09-24
BATS.L,0.79713152838286,2023-10-01
BATS.L,0.768054941782941,2023-10-08
BATS.L,0.756919227765952,2023-10-15
BATS.L,0.759393830880838,2023-10-22
BATS.L,0.743308910634075,2023-10-29
BATS.L,0.781510596220138,2023-11-05
BATS.L,0.766198989446776,2023-11-12
BATS.L,0.779963969273334,2023-11-19
BATS.L,0.790326369816922,2023-11-26
BATS.L,0.775788076516963,2023-12-03
BATS.L,0.716552264454364,2023-12-10
BATS.L,0.715005637507559,2023-12-17
BATS.L,0.708355141636301,2023-12-24
BATS.L,0.710056431277786,2023-12-31
BATS.L,0.73000791889156,2024-01-07
BATS.L,0.726296014219229,2024-01-14
BATS.L,0.713768335950116,2024-01-21
BATS.L,0.721656133378817,2024-01-28
BATS.L,0.731554545838364,2024-02-04
BATS.L,0.74887676764257,2024-02-11
BATS.L,1.02681787251745,2024-02-18
BATS.L,1.01596895776742,2024-02-25
BATS.L,0.993207509174223,2024-03-03
BATS.L,0.972786022585933,2024-03-10
BATS.L,0.995760194997759,2024-03-17
BATS.L,1.01086358612035,2024-03-24
BATS.L,1.02362701523803,2024-03-31
BATS.L,0.990867547169315,2024-04-07
BATS.L,0.981507699149682,2024-04-14
BATS.L,0.98278404206145,2024-04-21
BATS.L,0.989591204257547,2024-04-28
BATS.L,1.00192918573797,2024-05-05
BATS.L,1.03511410144394,2024-05-12
BATS.L,1.0529829022087,2024-05-19
BATS.L,1.01681985304193,2024-05-26
BATS.L,1.02745604397333,2024-06-02
BATS.L,1.03681589199297,2024-06-09
BATS.L,1.01767074831645,2024-06-16
BATS.L,1.05851372149302,2024-06-23
BATS.L,1.03383775853218,2024-06-30
BATS.L,1.04660118764986,2024-07-07
BATS.L,1.06659722660089,2024-07-14
BATS.L,1.09127318956174,2024-07-21
BATS.L,1.12045531558806,2024-07-28
BATS.L,1.14467915714896,2024-08-04
BATS.L,1.15001661376408,2024-08-11
BATS.L,1.13893112694807,2024-08-18
BATS.L,1.1327725231614,2024-08-25
BATS.L,1.1643866892663,2024-09-01
BATS.L,1.20257003274365,2024-09-08
BATS.L,1.21735068183166,2024-09-15
BATS.L,1.15371177603608,2024-09-22
BATS.L,1.13893112694807,2024-09-29
BATS.L,1.10074778347072,2024-10-06
BATS.L,1.09910548912761,2024-10-13
BATS.L,1.08391426645382,2024-10-20
BATS.L,1.09130459099783,2024-10-27
BATS.L,1.11060154952939,2024-11-03
BATS.L,1.12209760993117,2024-11-10
BATS.L,1.17711447042542,2024-11-17
BATS.L,1.21899297617477,2024-11-24
BATS.L,1.22679387430455,2024-12-01
BATS.L,1.218582402589,2024-12-08
BATS.L,1.22843616864767,2024-12-15
BATS.L,1.18204135345476,2024-12-22
BATS.L,1.18778938365565,2024-12-29
BATS.L,1.22063527051788,2025-01-05
BATS.L,1.21776125541744,2025-01-12
BATS.L,1.21611896107433,2025-01-19
BATS.L,1.23500534602011,2025-01-26
DGE.L,13.3752410119742,2022-01-02
DGE.L,12.8930595241836,2022-01-09
DGE.L,12.4507890544223,2022-01-16
DGE.L,12.4752502111842,2022-01-23
DGE.L,11.1304552383667,2022-01-30
DGE.L,11.392353597,2022-02-06
DGE.L,11.3210103548208,2022-02-13
DGE.L,11.1658643285256,2022-02-20
DGE.L,11.2020973810113,2022-02-27
DGE.L,10.4220663753066,2022-03-06
DGE.L,9.87340594991606,2022-03-13
DGE.L,11.0702397198729,2022-03-20
DGE.L,11.3050103795975,2022-03-27
DGE.L,11.3960061621122,2022-04-03
DGE.L,11.7660570841264,2022-04-10
DGE.L,11.6295546566018,2022-04-17
DGE.L,11.2348072955945,2022-04-24
DGE.L,11.3450754133232,2022-05-01
DGE.L,10.4827660078944,2022-05-08
DGE.L,10.5283880066998,2022-05-15
DGE.L,10.0900543265265,2022-05-22
DGE.L,10.3232267905232,2022-05-29
DGE.L,10.1533016353135,2022-06-05
DGE.L,9.77742979577611,2022-06-12
DGE.L,9.60163615597485,2022-06-19
DGE.L,10.0747852408891,2022-06-26
DGE.L,9.52660977263155,2022-07-03
DGE.L,9.55493566151364,2022-07-10
DGE.L,9.75391051414781,2022-07-17
DGE.L,10.027012826578,2022-07-24
DGE.L,10.6066326329823,2022-07-31
DGE.L,11.1441796775937,2022-08-07
